comentario,sentimiento,confianza
muy mala siempre tiene errory bloquea el usuario,1 star,0.904
muy bonito su diseño facil de manejar...pero muy lenta al ingresar...pide cada rato cambio de claves...fallo al registrar huella digital..y registro de nuevo usuario...,3 stars,0.406
"Muchos inconvenientes para recuperar contraseña, toca hacer el proceso muchas veces y no se puede recuperar.",2 stars,0.502
Que aplicación tan problemática....,1 star,0.565
"Lamentable y fastidiosa experiencia. Pide cambio de clave cada mes, hay que hacer un registro engorroso, hago todo bien, de hecho me dice que el proceso es satisfactorio, pero al iniciar sesión sale que el usuario fue bloqueado. Es la segunda vez que ocurre, tendré que volver a la oficina. La app anterior era mil veces mejor, cambiaron para empeorar. Arreglen ese bodrio cuanto antes por favor.",1 star,0.698
Pésima no deja entrar y fuera de eso no dan solución y la nueva actualización peor tampoco sirve ojalá lean esto y ayuden...,1 star,0.89
excelente,5 stars,0.786
"terrible, no le deja ingresar. Me aparece que no es posible tramitar mi solicitud. ya la desinstale, la volví a instalar. apague el celular y lo volví a encender y nada",1 star,0.961
"Muy mala aplicacion, pesima gestion en mantenimiento, no deja ingresar",1 star,0.923
"Luego de actualizarla sigo sin poder realizar la verificación. Una lastima que Comedal haya migrado a esta app, teniendo en cuenta el rendimiento tan excelente que tenían.",3 stars,0.284
"Desde que manejo la App, (la anterior) y está, han Sido lo peor. Pide activación, la red no responde, cada vez que va a ingresar genera error.",1 star,0.866
"Me registre y al iniciar sesión por primera vez, me sale dizque usuario bloqueado...",1 star,0.833
"Pésima aplicación. No es funcional. Solicita constantemente registrar el equipo móvil, a pesar de que es el mismo dispositivo desde el cual siempre se ha manejado la app. Hoy llegó una actualización obligatoria para poder acceder a las funcionalidades, pero al descargarla solicita nuevamente registrar el teléfono y, al intentar hacerlo, jamás llega el código Otp de confirmación, en conclusión no se puede usar.",1 star,0.934
mala experiencia con la aplicación realice cambio de contraseña y no me volvió a dejar ingresar siempre sale el aviso que no se puede.,1 star,0.735
"falla mucho, es un problema para q reconozca el documento, por todo genera bloqueo, ahora quitaron trasfiya y es la hora que no se puede enviar dinero por llaves se supone q ya registre una en esta cuenta pero cuando voy a enviar desde otra entidad me dice que no existe que verifique con el banco de origen.. se volvió pésima 1 es mucho para la aplicación",1 star,0.843
excelente,5 stars,0.786
demasiado complicado,2 stars,0.545
excelente,5 stars,0.786
se vuelve canson pidiendo actualización cada rato.,1 star,0.49
mal funcionamiento,1 star,0.711
cada tres meses toca cambiar la clave y eso es muy engorroso porque no se puede usar las que ya había usado,1 star,0.625
se actualiza a cada rato y para ingresar nuevamente toca hacer todo el proceso de inscripción,5 stars,0.447
"Una porquería, mi usuario está bloqueado y ni siquiera he iniciado sesión una vez. Solamente quieren la información de mis datos personales, se quedan con eso y la aplicación no funciona para nada. Si pudiera darle 0 estrellas se las daría. ¡Horrible! ahora escriben que me comunique a través de sus redes sociales y coopantex a fecha de hoy 20/10/2025 no tiene ningún canal disponible, de verdad que son el colmo",1 star,0.981
"es una porquería el tema del registro, toca tomar mil fotos de la cédula, y esas preguntas, es pésimo, no se acuerda ni la abuela de Tarzan de ellas. y para recuperar clave es peor, pude de nuevo todo como si te estuvieras registrando",1 star,0.747
"la instalo, me registro y cuando ingreso usuario bloqueado. Nunca pude ingresar mala aplicación. No sirve.",1 star,0.946
solicitaron mis datos y mi usuario quedó bloqueado...no he podido ingresar,1 star,0.87
Tiene mejor apariencia y una funcionalidad relativamente más rápida e intuitiva que la app anterior. Aunque Bre-B sigue sin funcionar.,3 stars,0.443
"es mala, no deja registrar, es un problema, pide cambio de clave cada rato, eso no lo hacen las otras app de otros bancos, y si uno entra con huella ya se le olvida la clave y es un complique cambiarla, para una persona adulta es imposible manejarla, poco intuitiva, lo peor es el registro y las calves o cambios de claves, la app es pésima.",1 star,0.736
Comedal la embarro poniendo esa aplicación tan mala que no funciona,1 star,0.923
"Previamente funcionaba medianamente bien con transfiya, ahora no puedo registrar llaves, no puedo transferir ni recibir dinero, aplicación completamente inútil",1 star,0.858
🤔,5 stars,0.309
good,4 stars,0.497
"No me deja ingresar, he tratado de instalarla en otro móvil y tampoco me deja ingresar",1 star,0.628
"es muy lenta, realize una tranferencia y hasta la fecha no ah llegado y aún no se donde está mi dinero",1 star,0.698
pésima aplicacion no funciona deberían mejorar,1 star,0.898
por dónde se hace las h.p transferencias de bre-b 😡,3 stars,0.233
no se que paso la instale y inicie seccion y me bloquearon el perfil,1 star,0.658
"sirve solo cuando se le pega la gana, no se por qué la subieron ya si aun tenía tantas fallas. ahora con bre-b menos funciona.",2 stars,0.431
horrible estoy tratando de ver una obligación para pagarla y cuando trato de visualizarla la aplicación simplemente se cierra y no deja pero para llamar a cobrar si son buenos pero si sus medios de pagos no sirven que hace uno y ir en persona es imposible para mí,1 star,0.941
excelente,5 stars,0.786
"De lo peor, 20 minutos para validar todo y luego salen con el cuento de usuario bloqueado",1 star,0.9
La verdad me sorprendió. Buena interfaz fácil de usar. Y las transferencias con llaves hacen todo más fácil.,5 stars,0.673
menos de 5 días y dos actualizaciones,1 star,0.605
buena,4 stars,0.441
bien,4 stars,0.47
"Pésima aplicación,la autenticación debería dejar de otras formas",1 star,0.87
"Horrible, pésima, no sirve... Me dijeron que la instalara porque la anterior será inhabilitada, llevo casi dos meses tratando de utilizar la app y nunca puedo hacer ninguna transacción. La peor aplicación bancaria de todas... Me quedo con la versión anterior que si funciona.",1 star,0.981
